date,description,amount
2026-11-13,Costco,-81.20681816637477
2026-11-13,Fancy Dinner Place,-57.58851601929346
2026-11-14,Spotify,-10.99
2026-11-14,Netflix,-15.99
2026-11-15,Netflix,-20.779163442884947
2026-11-15,City Utility Bill,-161.47088533520218
2026-11-15,Local Cafe,-30.60603011525435
2026-11-15,Gym Membership,-126.61654328077981
2026-11-15,Parking,-30.894286956866328
2026-11-16,Cinema,-11.868038718907226
2026-11-16,Trader Joes,-112.44460268538428
2026-11-17,Chipotle,-21.195669120751788
2026-11-18,Starbucks,-23.592758625129193
2026-11-18,Costco,-96.095455883038
2026-11-19,Local Cafe,-47.36337192193446
2026-11-19,Uber Eats,-44.344624198373175
2026-11-19,Local Cafe,-38.24471335068521
2026-11-20,Clothing Store,-35.1213389089729
2026-11-22,Clothing Store,-25.327493108221564
2026-11-22,Whole Foods,-54.75182620329397
2026-11-23,Lyft,-39.73009299572878
2026-11-23,Target,-200.70733796781576
2026-11-24,Uber,-27.484584375916462
2026-11-24,Steam Games,-38.209023523186936
2026-11-25,Trader Joes,-86.84887444149712
2026-11-26,McDonalds,-55.77266639006146
2026-11-27,Fancy Dinner Place,-48.85405178328117
2026-11-28,Public Transit,-18.292975270896505
2026-12-01,Spotify,-43.454282208636286
2026-12-01,Lyft,-17.69215373718034
2026-12-01,Tech Corp Salary Input,5000.0
2026-12-03,Spotify,-35.37813028610351
2026-12-03,Uber Eats,-42.98326614520971
2026-12-03,Local Cafe,-50.55583920032567
2026-12-05,McDonalds,-25.562624530644833
2026-12-05,McDonalds,-44.78595576440475
2026-12-05,Parking,-34.513861520723395
2026-12-05,Luxury Apartments Rent,-1500.0
2026-12-06,Safeway,-76.25986900241037
2026-12-06,Online Store,-44.965714206549166
2026-12-07,McDonalds,-25.918540386073346
2026-12-07,Lyft,-36.94147577541701
2026-12-08,Public Transit,-37.43414356752872
2026-12-08,Chipotle,-49.35897425620153
2026-12-09,Local Market,-74.38420263374617
2026-12-09,Shell Gas Station,-13.148922200914395
2026-12-10,Uber Eats,-35.10912068410143
2026-12-11,Best Buy,-187.89713548058666
2026-12-12,Uber Eats,-53.49589008780752
2026-12-12,Local Market,-91.68763126000024
2026-12-12,Local Cafe,-48.55247756077921
2026-12-13,Amazon,-40.009498502306194
2026-12-13,Spotify,-19.992478191859668
2026-12-14,Costco,-116.4054319230937
2026-12-15,Uber,-19.168967734793362
2026-12-15,Lyft,-12.070555938606905
2026-12-15,Local Cafe,-17.065391852094475
2026-12-15,City Utility Bill,-166.3673196003863
2026-12-15,Parking,-19.98888521522678
2026-12-16,Online Store,-208.29769700296913
2026-12-18,Spotify,-11.119497986910364
2026-12-18,Local Market,-54.25064469212498
2026-12-19,Uber Eats,-34.392316391232356
2026-12-19,Costco,-57.92779273013799
2026-12-20,Starbucks,-30.334067052527814
2026-12-20,Fancy Dinner Place,-55.09462600567323
2026-12-20,Safeway,-110.92383292287332
2026-12-22,Netflix,-29.05540858222372
2026-12-22,Fancy Dinner Place,-34.959006394764025
2026-12-27,McDonalds,-26.38451416359179
2026-12-28,Shell Gas Station,-13.170276963784847
2026-12-28,Netflix,-15.99
2026-12-28,Spotify,-10.99
2026-12-29,Pharmacy,-136.28225681767628
